nu,seed,Method,L1,Linf,E_SG_T4,E_mean_max_0_4,E_mean_final_T4,E_mean_argmax_time,SG_points,SG_fraction,SG_threshold,final_abs_error_p95,final_abs_error_p99,Time,N_native,N_eval,native_substeps,traditional_substeps,nn_substeps,source_treatment,RefTime,model_path
0.0,1818,Ours (200),0.0002937226090580225,0.015283584594726562,0.0064771175384521484,2.536773763495148e-06,2.536773763495148e-06,4.0,3,0.015,12.707168579101562,0.0004027486138511449,0.0005028217565268278,0.17696738243103027,200,200,2,0,2,train_py_original_ours_protocol,0.18668031692504883,code/model_fixed.pkl
0.0,1819,FVM (200),0.01701453886926174,0.507294774055481,0.3581817150115967,2.86102294921875e-06,2.7179717108083423e-06,3.664,4,0.02,7.480181694030762,0.02162241004407406,0.3825768530368805,0.013575315475463867,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,WENO-Z (200),0.004421884194016457,0.261313796043396,0.20921480655670166,2.86102294921875e-06,2.708434976739227e-06,3.712,4,0.02,7.480181694030762,0.00045554066309705377,0.17033891379833221,0.023906469345092773,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,FVM (400),0.007765676360577345,0.25222891569137573,0.15954545140266418,2.899169885495212e-06,2.727508444877458e-06,3.632,4,0.02,7.480181694030762,0.010469477623701096,0.18793097138404846,0.018866300582885742,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,WENO-Z (400),0.0016144341789186,0.11166012287139893,0.0800081267952919,2.803802544804057e-06,2.651214572324534e-06,3.568,4,0.02,7.480181694030762,3.9273501897696406e-05,0.049532871693372726,0.03620457649230957,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,FVM (800),0.0036815807688981295,0.10431134700775146,0.06905228644609451,2.784729076665826e-06,2.593994167909841e-06,3.664,4,0.02,7.480181694030762,0.005344431381672621,0.05146880820393562,0.0303499698638916,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,WENO-Z (800),0.00043688181904144585,0.03672826290130615,0.02157561480998993,2.765655608527595e-06,2.5749204723979346e-06,3.648,4,0.02,7.480181694030762,2.0831828805967234e-05,0.0068297600373625755,0.042619943618774414,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,FVM (1000),0.002867763862013817,0.07539212703704834,0.051268115639686584,2.7751923425967107e-06,2.6226043701171875e-06,3.712,4,0.02,7.480181694030762,0.004277837462723255,0.04961676523089409,0.049524545669555664,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,WENO-Z (1000),0.0002723488723859191,0.024095654487609863,0.013322383165359497,2.7561188744584797e-06,2.593994167909841e-06,3.712,4,0.02,7.480181694030762,2.0676854546763934e-05,0.0029227673076093197,0.05210447311401367,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
0.0,1819,FVM (2000),0.0012704133987426758,0.03776124119758606,0.017110951244831085,1.9073486328125e-06,1.9073486328125e-06,4.0,4,0.02,7.480181694030762,0.0021237165201455355,0.008021448738873005,0.06564545631408691,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.18667149543762207,
