Cell-Center Velocity Error Report
Input NetCDF: fno_predictions_30cases_20steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: FNO
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
179     6.3338e-03    3.5074e-03    2.9938e-03    1.9863e-03    
180     6.3751e-03    3.5359e-03    3.0344e-03    2.0624e-03    
181     6.3399e-03    3.5241e-03    2.9981e-03    2.1069e-03    
182     6.3044e-03    3.4695e-03    3.0584e-03    2.0710e-03    
183     6.2898e-03    3.4129e-03    3.0558e-03    2.1095e-03    
184     6.2957e-03    3.4332e-03    3.0600e-03    2.1921e-03    
185     6.3168e-03    3.5129e-03    3.0691e-03    2.2069e-03    
186     6.3598e-03    3.5932e-03    3.1110e-03    2.1604e-03    
187     6.4128e-03    3.6626e-03    3.2412e-03    2.2127e-03    
188     6.4076e-03    3.6600e-03    3.2009e-03    2.2112e-03    
189     6.3601e-03    3.5364e-03    3.1748e-03    2.2231e-03    
190     6.3722e-03    3.4509e-03    3.2125e-03    2.1286e-03    
191     6.4695e-03    3.4786e-03    3.3392e-03    2.2714e-03    
192     6.6071e-03    3.6011e-03    3.3320e-03    2.2059e-03    
193     6.7012e-03    3.7832e-03    3.3246e-03    2.1670e-03    
194     6.7795e-03    3.9443e-03    3.2939e-03    2.1901e-03    
195     6.8019e-03    4.0305e-03    3.3221e-03    2.1584e-03    
196     6.8062e-03    4.0135e-03    3.2290e-03    2.1247e-03    
197     6.8327e-03    3.9962e-03    3.2433e-03    2.0986e-03    
198     6.8830e-03    3.9948e-03    3.1302e-03    2.0349e-03    
199     6.9618e-03    4.0684e-03    3.1552e-03    2.0059e-03    
200     7.0197e-03    4.2097e-03    3.1893e-03    1.9653e-03    
201     7.0324e-03    4.3484e-03    3.2303e-03    1.9298e-03    
202     7.0295e-03    4.4054e-03    3.2097e-03    1.9435e-03    
203     7.0338e-03    4.5000e-03    3.1326e-03    1.9422e-03    
204     7.0344e-03    4.5514e-03    3.1643e-03    2.0109e-03    
205     7.0693e-03    4.4835e-03    3.2411e-03    2.1427e-03    
206     7.1188e-03    4.4769e-03    3.2487e-03    2.1320e-03    
207     7.1643e-03    4.5995e-03    3.1970e-03    2.2028e-03    
208     7.2061e-03    4.6721e-03    3.2332e-03    2.0865e-03    
209     7.2185e-03    4.5638e-03    3.2262e-03    2.0337e-03    
210     7.1275e-03    4.3250e-03    3.2629e-03    2.0025e-03    
211     6.9875e-03    4.0943e-03    3.1878e-03    1.9750e-03    
212     6.8848e-03    4.0037e-03    3.2013e-03    1.9561e-03    
213     6.8371e-03    4.0592e-03    3.2605e-03    1.9976e-03    
214     6.8130e-03    4.1909e-03    3.3041e-03    1.9502e-03    
215     6.8490e-03    4.2968e-03    3.2251e-03    1.8987e-03    
216     6.9109e-03    4.3090e-03    3.3393e-03    1.9079e-03    
217     6.9407e-03    4.2511e-03    3.3505e-03    1.9457e-03    
218     6.9469e-03    4.1768e-03    3.2968e-03    1.9415e-03    
219     6.9709e-03    4.1873e-03    3.2237e-03    1.9416e-03    
