time_rel,quantity,method,corner,loss_mean,loss_std,loss_median,loss_p95,n_traj
1.6,CornerVorticityAbsL2Loss,GNOT,BL,0.0012196261416344593,0.0008595944714498295,0.0009184014343190938,0.0023531424929387865,30
1.7000000000000002,CornerVorticityAbsL2Loss,GNOT,BL,0.0012231226239237003,0.0008286685917238704,0.000951785099459812,0.002433494466822594,30
1.8,CornerVorticityAbsL2Loss,GNOT,BL,0.0012215542868943886,0.0008356863080580243,0.0009214123128913343,0.0024062952492386104,30
1.9000000000000001,CornerVorticityAbsL2Loss,GNOT,BL,0.0012515717685649482,0.0008544733260740054,0.0009279164660256356,0.002472903311718255,30
2.0,CornerVorticityAbsL2Loss,GNOT,BL,0.001287405315088108,0.0008600998125922782,0.000919368932954967,0.0025796038913540537,30
2.1,CornerVorticityAbsL2Loss,GNOT,BL,0.00132569167665982,0.0008601228937092844,0.0009428252815268934,0.0027869393117725847,30
2.2,CornerVorticityAbsL2Loss,GNOT,BL,0.0013518442758747066,0.00085443002242504,0.0009565854852553457,0.002943694277200847,30
2.3000000000000003,CornerVorticityAbsL2Loss,GNOT,BL,0.001370075734060568,0.0008565646198459747,0.001060490496456623,0.002996909036301076,30
2.4000000000000004,CornerVorticityAbsL2Loss,GNOT,BL,0.0014018820443501075,0.0008844894757269887,0.0010853889980353415,0.0031253429944626985,30
2.5,CornerVorticityAbsL2Loss,GNOT,BL,0.0014220044521304467,0.0009055173495519381,0.0010299896821379662,0.0031665076501667497,30
2.6,CornerVorticityAbsL2Loss,GNOT,BL,0.0014219793491065502,0.0009142213275212092,0.001019185670884326,0.0033883535186760116,30
2.7,CornerVorticityAbsL2Loss,GNOT,BL,0.0014140387220929066,0.0009043793304462109,0.0010651004849933088,0.0035045745782554144,30
2.8000000000000003,CornerVorticityAbsL2Loss,GNOT,BL,0.0014152110496070236,0.0009213478118130268,0.0011492868070490658,0.003542895033024251,30
2.9000000000000004,CornerVorticityAbsL2Loss,GNOT,BL,0.0014318928762804717,0.0009327004520058432,0.0012051919475197792,0.0034319330821745092,30
3.0,CornerVorticityAbsL2Loss,GNOT,BL,0.0014488368285431837,0.0009682962658396793,0.00116469687782228,0.003362012025900183,30
3.1,CornerVorticityAbsL2Loss,GNOT,BL,0.0014710255122433106,0.0010097617458115086,0.0011740492773242295,0.0035436791018582862,30
3.2,CornerVorticityAbsL2Loss,GNOT,BL,0.001486362194797645,0.0010176493494468977,0.0011888127191923559,0.0037362030008807772,30
3.3000000000000003,CornerVorticityAbsL2Loss,GNOT,BL,0.0014806373568717391,0.0009901450522476266,0.0012209144770167768,0.0037286358419805756,30
3.4000000000000004,CornerVorticityAbsL2Loss,GNOT,BL,0.0014567491423804313,0.0009352998258985048,0.0011805683025158942,0.003381329972762614,30
3.5,CornerVorticityAbsL2Loss,GNOT,BL,0.00145041235567381,0.0009033792524640177,0.0011337636387906969,0.003275266173295676,30
3.6,CornerVorticityAbsL2Loss,GNOT,BL,0.0014626370122035345,0.0008902111509289501,0.0010995746706612408,0.0032150738057680427,30
3.7,CornerVorticityAbsL2Loss,GNOT,BL,0.001464968518121168,0.0008596760067964883,0.00105857674498111,0.0030897163203917437,30
3.8000000000000003,CornerVorticityAbsL2Loss,GNOT,BL,0.0014546383754350245,0.0008324957277334911,0.0010431305272504687,0.0032277276623062785,30
3.9000000000000004,CornerVorticityAbsL2Loss,GNOT,BL,0.0014590396041360995,0.000846646724240018,0.001124679110944271,0.0034776110202074046,30
4.0,CornerVorticityAbsL2Loss,GNOT,BL,0.001468971724777172,0.000869299098238925,0.0011235513375140727,0.00355100673623383,30
4.1000000000000005,CornerVorticityAbsL2Loss,GNOT,BL,0.0014822382227672884,0.000883946571305683,0.0010706902830861509,0.003545836044941097,30
4.2,CornerVorticityAbsL2Loss,GNOT,BL,0.0014969939783137912,0.0009008502900399136,0.00106182653689757,0.0034934693016111847,30
4.3,CornerVorticityAbsL2Loss,GNOT,BL,0.001503327641209277,0.0008936269644346502,0.0010786993661895394,0.003364862152375281,30
4.4,CornerVorticityAbsL2Loss,GNOT,BL,0.001487616137213384,0.0008756834789918731,0.00107894919347018,0.003227127995342016,30
