Method,time_rel,E_u_cl_abs_ensemble_rms_L2,E_v_cl_abs_ensemble_rms_L2,E_cl_abs_ensemble_rms_L2
GNOT,8.9,0.0007660389881413728,0.0007803094292654582,0.0007731742087034155
GNOT,9.0,0.0007595257975500011,0.0008037859395620475,0.0007816558685560243
GNOT,9.1,0.000753109920507095,0.0008198899539456421,0.0007864999372263685
GNOT,9.200000000000001,0.0007554620213950087,0.0008329620538218312,0.0007942120376084199
GNOT,9.3,0.0007626797200034976,0.0008479630842373417,0.0008053214021204197
GNOT,9.4,0.0007692465005085898,0.0008442413073716055,0.0008067439039400976
GNOT,9.5,0.0007763992725414663,0.0008373815518477476,0.000806890412194607
GNOT,9.600000000000001,0.0007893235824282583,0.0008331565109751764,0.0008112400467017173
GNOT,9.700000000000001,0.0008055166755392249,0.000825326678755056,0.0008154216771471404
GNOT,9.8,0.0008228958227253667,0.0008159073722629745,0.0008194015974941707
GNOT,9.9,0.0008399792933879097,0.0008061543324562537,0.0008230668129220818
GNOT,10.0,0.0008525962136633047,0.0008028173731834237,0.0008277067934233642
GNOT,10.100000000000001,0.000857764227259475,0.0008038229581182039,0.0008307935926888394
GNOT,10.200000000000001,0.0008659900766152245,0.0008001151360554232,0.0008330526063353239
GNOT,10.3,0.0008666273799806419,0.0007999676976248037,0.0008332975388027228
GNOT,10.4,0.0008659584018391767,0.0008016337978993199,0.0008337960998692483
GNOT,10.5,0.0008610970086039476,0.0008041668468558513,0.0008326319277298995
GNOT,10.600000000000001,0.0008630116205039634,0.0008039016723541612,0.0008334566464290623
GNOT,10.700000000000001,0.0008620037019234567,0.0007876116568108404,0.0008248076793671486
GNOT,10.8,0.0008662318772719071,0.0007653452681060854,0.0008157885726889963
GNOT,10.9,0.0008686663757102863,0.0007480992224005226,0.0008083827990554044
GNOT,11.0,0.0008701983398116279,0.0007331365072898806,0.0008016674235507542
GNOT,11.100000000000001,0.0008746563900857667,0.0007221541527864367,0.0007984052714361018
GNOT,11.200000000000001,0.0008762549768234571,0.0007162697990579977,0.0007962623879407273
GNOT,11.3,0.0008765901651806706,0.0007087255778773153,0.000792657871528993
GNOT,11.4,0.0008758434517061631,0.0007025673369263909,0.000789205394316277
GNOT,11.5,0.0008799315002283645,0.0007010574220879903,0.0007904944611581774
GNOT,11.600000000000001,0.0008840456414343318,0.0006911742295507142,0.000787609935492523
GNOT,11.700000000000001,0.0008789174646412992,0.0006950637378923911,0.0007869906012668451
GNOT,11.8,0.0008710041927911016,0.0006959286442758672,0.0007834664185334844
GNOT,11.9,0.0008618167954933493,0.0007024392042676322,0.0007821279998804908
GNOT,12.0,0.0008482654651742156,0.0007137677058368818,0.0007810165855055487
GNOT,12.100000000000001,0.0008302073646556623,0.0007183840681561456,0.0007742957164059039
GNOT,12.200000000000001,0.0008117427002209866,0.0007365403590555453,0.000774141529638266
GNOT,12.3,0.0008011333870980594,0.000765388293589973,0.0007832608403440162
GNOT,12.4,0.0007876329675501129,0.0007911156526618236,0.0007893743101059683
GNOT,12.5,0.0007775842725894354,0.0008070090504337089,0.0007922966615115721
GNOT,12.600000000000001,0.0007765349834003684,0.0008253710690418263,0.0008009530262210973
GNOT,12.700000000000001,0.0007786936779669401,0.0008274501973920089,0.0008030719376794745
GNOT,12.8,0.000775184315326031,0.0008230409336846573,0.0007991126245053442
GNOT,12.9,0.0007677772717435824,0.0008153062650207814,0.0007915417683821819
GNOT,13.0,0.0007631760578394244,0.0007997194330371442,0.0007814477454382842
GNOT,13.100000000000001,0.0007610740156319927,0.0007907661800554989,0.0007759200978437457
GNOT,13.200000000000001,0.0007688932708589892,0.0007829272092558286,0.0007759102400574089
GNOT,13.3,0.0007745809007997331,0.0007762672522615482,0.0007754240765306406
GNOT,13.4,0.0007726264214405999,0.0007753342897520831,0.0007739803555963415
GNOT,13.5,0.0007823377258853398,0.0007679926799926569,0.0007751652029389984
GNOT,13.600000000000001,0.0007960386977733104,0.0007611527729318943,0.0007785957353526024
GNOT,13.700000000000001,0.0008096061478960841,0.0007565295874606203,0.0007830678676783523
GNOT,13.8,0.0008251137882608837,0.0007606097679239644,0.000792861778092424
GNOT,13.9,0.000843963443192541,0.0007625251746845378,0.0008032443089385394
GNOT,14.0,0.000857092240773118,0.0007658811745203787,0.0008114867076467483
GNOT,14.100000000000001,0.0008643751920188604,0.0007747884446445096,0.000819581818331685
GNOT,14.200000000000001,0.0008636223094181667,0.0007887903680552968,0.0008262063387367317
GNOT,14.3,0.0008524659561608624,0.0008035083036036111,0.0008279871298822368
GNOT,14.4,0.0008371148921006388,0.0008167604032954154,0.0008269376476980272
GNOT,14.5,0.0008338361842014233,0.0008277659378436258,0.0008308010610225246
GNOT,14.600000000000001,0.0008383315341933524,0.0008335793680657467,0.0008359554511295495
GNOT,14.700000000000001,0.0008502683122113739,0.0008304994112728034,0.0008403838617420886
GNOT,14.8,0.0008751132169279967,0.0008335508047567264,0.0008543320108423615
GNOT,14.9,0.0008940867426615901,0.0008394191643939131,0.0008667529535277516
GNOT,15.0,0.0009077916246946563,0.000855143974190602,0.0008814677994426292
GNOT,15.100000000000001,0.0009236610878842686,0.0008690935246576845,0.0008963773062709765
GNOT,15.200000000000001,0.0009309674592064595,0.0008873992574002278,0.0009091833583033436
GNOT,15.3,0.0009305244048487206,0.0009007239777882653,0.0009156241913184929
GNOT,15.4,0.0009297310512846839,0.000909065954753323,0.0009193985030190035
