Cell-Center Velocity Error Report
Input NetCDF: gnot_predictions_30cases_400steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: GNOT
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
189     4.4774e-03    2.6794e-03    2.8003e-03    1.9484e-03    
190     4.4871e-03    2.6186e-03    2.7050e-03    1.9097e-03    
191     4.4964e-03    2.5037e-03    2.7709e-03    1.7832e-03    
192     4.5557e-03    2.4407e-03    2.7625e-03    1.7375e-03    
193     4.6130e-03    2.4579e-03    2.7830e-03    1.6907e-03    
194     4.6600e-03    2.5574e-03    2.8540e-03    1.6777e-03    
195     4.7086e-03    2.6638e-03    2.8721e-03    1.6117e-03    
196     4.7446e-03    2.7309e-03    2.8673e-03    1.6466e-03    
197     4.7666e-03    2.7165e-03    2.8095e-03    1.5628e-03    
198     4.7787e-03    2.6626e-03    2.7916e-03    1.5353e-03    
199     4.7723e-03    2.6068e-03    2.7095e-03    1.4214e-03    
200     4.7983e-03    2.6276e-03    2.6667e-03    1.3762e-03    
201     4.7968e-03    2.6832e-03    2.6693e-03    1.3956e-03    
202     4.8065e-03    2.7253e-03    2.7886e-03    1.4942e-03    
203     4.8137e-03    2.7089e-03    2.7263e-03    1.4311e-03    
204     4.8177e-03    2.6712e-03    2.6970e-03    1.3722e-03    
205     4.8252e-03    2.6392e-03    2.7856e-03    1.5567e-03    
206     4.8254e-03    2.6252e-03    2.7276e-03    1.4457e-03    
207     4.8037e-03    2.6168e-03    2.6647e-03    1.4485e-03    
208     4.8471e-03    2.6510e-03    2.7515e-03    1.3599e-03    
209     4.8962e-03    2.6735e-03    2.7735e-03    1.4738e-03    
210     4.9164e-03    2.6510e-03    2.7911e-03    1.5588e-03    
211     4.8938e-03    2.6009e-03    2.7592e-03    1.6210e-03    
212     4.8516e-03    2.5741e-03    2.7960e-03    1.6499e-03    
213     4.8349e-03    2.6306e-03    2.8714e-03    1.8435e-03    
214     4.8137e-03    2.6976e-03    2.9868e-03    1.8724e-03    
215     4.8401e-03    2.7591e-03    3.0493e-03    2.0550e-03    
216     4.9145e-03    2.8169e-03    3.1467e-03    2.4898e-03    
217     4.9847e-03    2.7972e-03    3.1546e-03    2.5067e-03    
218     5.0401e-03    2.7699e-03    3.3029e-03    2.7676e-03    
219     5.0849e-03    2.7632e-03    3.3045e-03    2.5836e-03    
220     5.1064e-03    2.7999e-03    3.2778e-03    2.5542e-03    
221     5.0974e-03    2.8367e-03    3.1177e-03    2.2937e-03    
222     5.0766e-03    2.8379e-03    3.0467e-03    2.1524e-03    
223     5.0268e-03    2.8023e-03    2.9821e-03    1.9868e-03    
224     4.9893e-03    2.7557e-03    3.0318e-03    2.3339e-03    
225     4.9459e-03    2.6837e-03    3.0363e-03    2.3880e-03    
226     4.9104e-03    2.6249e-03    2.9891e-03    2.1753e-03    
227     4.9075e-03    2.6085e-03    2.8989e-03    1.8569e-03    
228     4.9823e-03    2.6365e-03    2.9411e-03    2.0436e-03    
229     5.0527e-03    2.6764e-03    2.9372e-03    2.0463e-03    
230     5.0501e-03    2.6628e-03    2.9651e-03    2.0567e-03    
231     4.9597e-03    2.5820e-03    2.8131e-03    1.7437e-03    
232     4.8121e-03    2.4767e-03    2.7677e-03    1.7170e-03    
233     4.7183e-03    2.4079e-03    2.7867e-03    1.6716e-03    
234     4.6913e-03    2.3581e-03    2.7945e-03    1.4273e-03    
235     4.6893e-03    2.3301e-03    2.7339e-03    1.5038e-03    
236     4.7111e-03    2.3131e-03    2.7248e-03    1.4966e-03    
237     4.7491e-03    2.3402e-03    2.7701e-03    1.6648e-03    
238     4.7535e-03    2.3512e-03    2.7211e-03    1.7102e-03    
239     4.7375e-03    2.3605e-03    2.6817e-03    1.5672e-03    
240     4.7021e-03    2.3508e-03    2.6470e-03    1.6681e-03    
241     4.7031e-03    2.3510e-03    2.6576e-03    1.7431e-03    
242     4.7326e-03    2.3836e-03    2.7829e-03    1.7589e-03    
243     4.7569e-03    2.4566e-03    2.7759e-03    1.7457e-03    
244     4.7793e-03    2.5033e-03    2.7310e-03    1.7554e-03    
245     4.7762e-03    2.5494e-03    2.6938e-03    1.6847e-03    
246     4.7863e-03    2.6055e-03    2.6927e-03    1.5783e-03    
247     4.8319e-03    2.6436e-03    2.7139e-03    1.5945e-03    
248     4.8813e-03    2.6806e-03    2.6742e-03    1.4771e-03    
249     4.8888e-03    2.6990e-03    2.6665e-03    1.4622e-03    
250     4.8514e-03    2.6659e-03    2.6707e-03    1.4145e-03    
251     4.7829e-03    2.6423e-03    2.6971e-03    1.5610e-03    
252     4.7035e-03    2.6021e-03    2.7008e-03    1.6698e-03    
253     4.6783e-03    2.6064e-03    2.7155e-03    1.6282e-03    
254     4.7104e-03    2.5917e-03    2.7082e-03    1.5684e-03    
255     4.7569e-03    2.5954e-03    2.6786e-03    1.4706e-03    
256     4.7823e-03    2.6040e-03    2.6414e-03    1.4233e-03    
257     4.7833e-03    2.5762e-03    2.5884e-03    1.3575e-03    
258     4.7428e-03    2.4736e-03    2.5556e-03    1.1848e-03    
259     4.6848e-03    2.3801e-03    2.5038e-03    1.1308e-03    
260     4.6629e-03    2.3251e-03    2.4895e-03    1.1136e-03    
261     4.6841e-03    2.3317e-03    2.5035e-03    1.1904e-03    
262     4.7246e-03    2.3841e-03    2.4516e-03    1.2001e-03    
263     4.7708e-03    2.4372e-03    2.4795e-03    1.2162e-03    
264     4.7991e-03    2.4615e-03    2.4944e-03    1.2183e-03    
265     4.8228e-03    2.4623e-03    2.6138e-03    1.2109e-03    
266     4.8438e-03    2.4301e-03    2.7031e-03    1.2796e-03    
267     4.8671e-03    2.3802e-03    2.7137e-03    1.2788e-03    
268     4.9050e-03    2.3898e-03    2.7488e-03    1.3736e-03    
269     4.9460e-03    2.4418e-03    2.6426e-03    1.3025e-03    
270     4.9893e-03    2.4654e-03    2.6601e-03    1.2844e-03    
271     4.9945e-03    2.5079e-03    2.6070e-03    1.2174e-03    
272     4.9770e-03    2.5519e-03    2.6173e-03    1.2644e-03    
273     5.0095e-03    2.5648e-03    2.6472e-03    1.2911e-03    
274     5.0502e-03    2.5941e-03    2.6611e-03    1.3106e-03    
275     5.0870e-03    2.6320e-03    2.6596e-03    1.3029e-03    
276     5.1424e-03    2.6468e-03    2.7100e-03    1.2922e-03    
277     5.1482e-03    2.6435e-03    2.7096e-03    1.3896e-03    
278     5.1016e-03    2.6276e-03    2.7475e-03    1.4520e-03    
279     5.0392e-03    2.5827e-03    2.7659e-03    1.3478e-03    
280     5.0290e-03    2.5500e-03    2.7436e-03    1.3410e-03    
281     5.0486e-03    2.5840e-03    2.6977e-03    1.3326e-03    
282     5.0844e-03    2.6363e-03    2.7098e-03    1.3941e-03    
283     5.0782e-03    2.6712e-03    2.7335e-03    1.3714e-03    
284     5.0182e-03    2.6677e-03    2.6705e-03    1.2678e-03    
285     4.9403e-03    2.6070e-03    2.7108e-03    1.1998e-03    
286     4.8859e-03    2.5076e-03    2.7024e-03    1.2433e-03    
