Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
baseline_1024x1024,27,8.20460581406263,10.23822605857388,117.0,146.0
baseline_2048x2048,27,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,27,8.555229994150777,9.817477042468104,122.0,140.0
LI,27,7.082608437780561,8.765604502203663,101.0,125.0
baseline_64x64,28,1.2622470483173276,3.2257424568109485,18.0,46.0
baseline_128x128,28,2.664743768669914,4.487989505128276,38.0,64.0
baseline_256x256,28,4.277614997075388,5.539862045392716,61.00000000000001,79.0
baseline_512x512,28,5.329487537339828,7.082608437780561,76.0,101.0
baseline_1024x1024,28,7.363107781851077,9.396728026362329,105.0,134.00000000000003
baseline_2048x2048,28,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,28,6.872233929727672,9.18635351830944,98.0,131.0
LI,28,4.698364013181164,6.311235241586638,67.00000000000001,90.0
baseline_64x64,29,1.5427463923878448,3.0153679487580605,22.0,43.0
baseline_128x128,29,2.5946189326522844,4.137365325040129,37.0,58.99999999999999
baseline_256x256,29,3.576366636899095,6.170985569551379,51.0,88.0
baseline_512x512,29,6.170985569551379,6.872233929727672,88.0,98.0
baseline_1024x1024,29,7.012483601762931,7.853981633974483,100.0,112.0
baseline_2048x2048,29,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,29,7.15273327379819,8.555229994150777,102.0,122.0
LI,29,7.15273327379819,8.064356142027371,102.0,115.0
baseline_64x64,30,2.03362024451125,3.786741144951983,29.0,54.0
baseline_128x128,30,3.365992128846207,5.399612373357457,48.0,77.0
baseline_256x256,30,4.908738521234052,7.012483601762931,70.0,100.0
baseline_512x512,30,6.942358765745301,9.046103846274182,99.0,129.0
baseline_1024x1024,30,8.975979010256552,10.23822605857388,128.0,146.0
baseline_2048x2048,30,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,30,8.064356142027371,10.30835089459151,115.0,147.0
LI,30,5.750236553445603,7.433232617868707,82.0,106.0
baseline_64x64,31,1.6128712284054745,3.2257424568109485,23.000000000000004,46.0
baseline_128x128,31,2.664743768669914,5.04898819326931,38.0,72.0
baseline_256x256,31,4.628239177163534,6.10086073353375,66.0,87.0
baseline_512x512,31,6.030735897516121,7.15273327379819,86.0,102.0
baseline_1024x1024,31,7.363107781851077,9.18635351830944,105.0,131.0
baseline_2048x2048,31,13.954842367508231,13.954842367508231,199.0,199.0
